year,state,atkin05,gini,rmeandev,theil,top10,top1
1922,"Rhode Island",.2272142,.4818628,.7086639,.6867113,.4354433,.1860175
1922,"South Carolina",.1238116,.3633969,.4938034,.3006155,.3064167,.0940506
1922,"South Dakota",.100361,.3349729,.4568858,.2192247,.260763,.0654127
1922,"Tennessee",.1542061,.4059546,.5780602,.403622,.3542984,.1173525
1922,"Texas",.1361515,.3713439,.5140398,.3673815,.3086468,.1124823
1922,"Utah",.1113783,.3352002,.4642891,.2756302,.2922919,.0912515
1922,"Vermont",.1674645,.4213454,.5952134,.4619621,.3546435,.1335016
1922,"Virginia",.1409318,.384131,.5418264,.3655112,.3326539,.1091549
1922,"Washington",.1096145,.3383251,.469364,.2637555,.2779494,.0829821
1922,"West Virginia",.1514917,.3944454,.5487972,.3954881,.3351676,.1181763
1922,"Wisconsin",.1628814,.4122318,.58396,.4227966,.3502394,.1214733
1922,"Wyoming",.1095315,.3393053,.4547081,.2511074,.2752782,.0782434
